run,status,exit_code,wall_seconds,fail_reason,start_iso,end_iso
1,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:46:55+00:00,2026-05-11T00:46:57+00:00
2,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:46:56+00:00,2026-05-11T00:46:58+00:00
3,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:46:56+00:00,2026-05-11T00:46:58+00:00
4,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:46:56+00:00,2026-05-11T00:46:58+00:00
5,CRASH,0,3,unrecoverable_dirty,2026-05-11T00:46:56+00:00,2026-05-11T00:46:59+00:00
6,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:46:57+00:00,2026-05-11T00:46:59+00:00
7,OK,0,2,-,2026-05-11T00:46:57+00:00,2026-05-11T00:46:59+00:00
8,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:46:58+00:00,2026-05-11T00:47:00+00:00
9,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:46:58+00:00,2026-05-11T00:47:00+00:00
10,CRASH,0,3,unrecoverable_dirty,2026-05-11T00:46:58+00:00,2026-05-11T00:47:01+00:00
11,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:46:59+00:00,2026-05-11T00:47:01+00:00
12,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:46:59+00:00,2026-05-11T00:47:01+00:00
13,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:46:59+00:00,2026-05-11T00:47:01+00:00
14,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:47:00+00:00,2026-05-11T00:47:02+00:00
15,CRASH,0,3,unrecoverable_dirty,2026-05-11T00:47:00+00:00,2026-05-11T00:47:03+00:00
16,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:47:01+00:00,2026-05-11T00:47:03+00:00
17,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:47:01+00:00,2026-05-11T00:47:03+00:00
18,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:47:01+00:00,2026-05-11T00:47:03+00:00
19,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:47:01+00:00,2026-05-11T00:47:03+00:00
20,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:47:02+00:00,2026-05-11T00:47:04+00:00
21,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:47:03+00:00,2026-05-11T00:47:05+00:00
23,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:47:03+00:00,2026-05-11T00:47:05+00:00
22,OK,0,2,-,2026-05-11T00:47:03+00:00,2026-05-11T00:47:05+00:00
24,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:47:03+00:00,2026-05-11T00:47:05+00:00
25,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:47:03+00:00,2026-05-11T00:47:05+00:00
26,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:47:04+00:00,2026-05-11T00:47:06+00:00
27,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:47:05+00:00,2026-05-11T00:47:07+00:00
29,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:47:05+00:00,2026-05-11T00:47:07+00:00
28,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:47:05+00:00,2026-05-11T00:47:07+00:00
31,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:47:05+00:00,2026-05-11T00:47:07+00:00
30,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:47:05+00:00,2026-05-11T00:47:07+00:00
32,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:47:06+00:00,2026-05-11T00:47:08+00:00
33,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:47:07+00:00,2026-05-11T00:47:09+00:00
34,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:47:07+00:00,2026-05-11T00:47:09+00:00
35,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:47:07+00:00,2026-05-11T00:47:09+00:00
37,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:47:07+00:00,2026-05-11T00:47:09+00:00
36,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:47:07+00:00,2026-05-11T00:47:09+00:00
38,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:47:08+00:00,2026-05-11T00:47:10+00:00
39,CRASH,0,2,unrecoverable_dirty,2026-05-11T00:47:09+00:00,2026-05-11T00:47:11+00:00
40,CRASH,137,15,exit_137,2026-05-11T00:47:09+00:00,2026-05-11T00:47:24+00:00
