
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000061                       # Number of seconds simulated (Second)
simTicks                                     60545000                       # Number of ticks simulated (Tick)
finalTick                                    60545000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      1.84                       # Real time elapsed on the host (Second)
hostTickRate                                 32837485                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8529292                       # Number of bytes of host memory used (Byte)
simInsts                                       102089                       # Number of instructions simulated (Count)
simOps                                         102089                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    55367                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      55367                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.chaos.numFaultsInjected                    104                       # Total number of faults injected (Count)
system.chaos.numBitFlips                          104                       # Number of bit flip faults injected (Count)
system.chaos.numStuckAtZero                         0                       # Number of stuck-at-0 faults injected (Count)
system.chaos.numStuckAtOne                          0                       # Number of stuck-at-1 faults injected (Count)
system.chaos.numPermanentFaults                     0                       # Total number of permanent faults injected (Count)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                            60546                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.593071                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.686139                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          105875                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       23                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         113766                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    103                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                 3617                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              1764                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   9                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples               59823                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.901710                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.407050                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     29453     49.23%     49.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                      5419      9.06%     58.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                      5950      9.95%     68.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      3633      6.07%     74.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      3979      6.65%     80.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      3669      6.13%     87.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      4331      7.24%     94.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      1811      3.03%     97.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      1578      2.64%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                 59823                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     462     20.30%     20.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     20.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     20.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteMult                     0      0.00%     20.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ByteDiv                      0      0.00%     20.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     20.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     20.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     20.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     20.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     20.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     20.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     20.30% # attempts to use FU when none available (Count)
